id,title,severity,status,createdAt,resolvedAt,mttr,affectedServices,rootComponent,triggeredBy,resolvedBy,errorCode,customerImpact,summary,team,similarIncidents,region
INC-3204,Azure Event Hub — Throughput Degradation North EU,Sev2,Mitigating,2025-03-06T08:00:00Z,,,svc-evhub,comp-evhubNS,CR-9870,,EventHubThrottlingException — PartitionRebalance,"~4,400 customers — message delivery delay >90s",Partition scale-up CR-9870 triggered consumer group rebalance across all NS in North EU.,team-msg,INC-2701,North EU
INC-2847,Azure Storage Latency Spike — East US 2,Sev2,Resolved,2025-03-05T15:10:00Z,2025-03-05T15:48:00Z,38 min,svc-storage|svc-appSvc,comp-storageRP,CR-9921,TSG-441,StorageRequestFailed-503,"~12,000 customers — elevated latency P99 >4s on blob read ops",Connection pool exhausted after CR-9921 set maxPoolSize too low.,team-storage,INC-2511|INC-2203,East US 2
INC-2856,CDN POP — Traffic Spike Causing Eviction — East US,Sev0,Active,2025-03-05T12:00:00.000Z,,,svc-cdn|svc-storage,comp-cdnPOP,,TSG-248,CDN-CacheEviction,"~359,631 customers — Cache hit ratio drops to 20% — origin overloaded",Cache hit ratio drops to 20% — origin overloaded. Root component: comp-cdnPOP. Resolved using TSG-248.,team-net,INC-2005,East US
INC-2889,ACR — Geo-Replication Sync Lag > 10min — West US 2,Sev2,Active,2025-03-05T12:00:00.000Z,,,svc-acr,comp-acrGeo,CR-9837,TSG-241,ACR-GeoSyncTimeout,"~23,561 customers — Cross-region image availability degraded — DR runbooks at risk",Cross-region image availability degraded — DR runbooks at risk. Root component: comp-acrGeo. Triggered by CR-9837. Resolved using TSG-241.,team-containers,INC-1746|INC-2027,West US 2
INC-3734,APIM Developer Portal — Identity Login Broken — Southeast Asia,Sev1,Resolved,2025-03-05T12:00:00.000Z,2025-03-05T13:33:00.000Z,93 min,svc-apim|svc-lb|svc-redis,comp-apimPortal,,TSG-248,APIM-Portal-OIDCFailed,"~86,755 customers — External developers unable to test APIs — partner escalation",External developers unable to test APIs — partner escalation. Root component: comp-apimPortal. Resolved using TSG-248.,team-net,INC-2627,East US 2
INC-1556,Redis — Cluster Shard Rebalancing Timeout — East US,Sev2,Resolved,2025-03-04T12:00:00.000Z,2025-03-04T12:39:00.000Z,39 min,svc-redis|svc-aad,comp-redisCluster,,,Redis-CLUSTERDOWN,"~15,544 customers — Cache unavailable during rebalancing — DB hit rate spikes 10×",Cache unavailable during rebalancing — DB hit rate spikes 10×. Root component: comp-redisCluster.,team-cache,INC-3488,East US
INC-1907,AKS — Node Pool OOM Eviction Storm — Australia East,Sev4,Resolved,2025-03-04T12:00:00.000Z,2025-03-04T12:30:00.000Z,30 min,svc-aks,comp-aksNodepool,CR-9825,,AKS-OOMEviction,~171 customers — Pods evicted across multiple nodes — service disruption,Pods evicted across multiple nodes — service disruption. Root component: comp-aksNodepool. Triggered by CR-9825.,team-containers,INC-1233,West US 2
INC-2167,CDN — Cache Purge Propagation Delay — North EU,Sev3,Resolved,2025-03-04T12:00:00.000Z,2025-03-04T12:37:00.000Z,37 min,svc-cdn,comp-cdnPOP,CR-9831,TSG-227,CDN-PurgeTimeout,"~1,138 customers — Stale content served after deployment — 5% of users seeing old UI",Stale content served after deployment — 5% of users seeing old UI. Root component: comp-cdnPOP. Triggered by CR-9831. Resolved using TSG-227.,team-net,INC-1092,West US 2
INC-2410,Functions — Storage Trigger Polling Lag — Japan East,Sev2,Mitigating,2025-03-04T12:00:00.000Z,,,svc-functions|svc-storage|svc-cosmos,comp-funcHost,CR-9789,TSG-265,Functions-StorageTriggerLag,"~4,436 customers — Blob-triggered functions delayed 10–20min — batch pipelines impacted",Blob-triggered functions delayed 10–20min — batch pipelines impacted. Root component: comp-funcHost. Triggered by CR-9789. Resolved using TSG-265.,team-apps,INC-1573,East US
INC-2962,ADO — Artifact Feed Unavailable — West US 2,Sev4,Resolved,2025-03-04T12:00:00.000Z,2025-03-04T12:18:00.000Z,18 min,svc-ado,comp-adoPipeline,,TSG-234,NuGet-503,~39 customers — Package restore failures blocking all builds,Package restore failures blocking all builds. Root component: comp-adoPipeline. Resolved using TSG-234.,team-ado,,Australia East
INC-3323,AAD — Conditional Access Policy Loop — West US 2,Sev3,Resolved,2025-03-04T12:00:00.000Z,2025-03-04T12:19:00.000Z,19 min,svc-aad|svc-cosmos,comp-aadSTS,,TSG-195,AADSTS53003,~341 customers — MFA loop for enterprise tenants — users locked out,MFA loop for enterprise tenants — users locked out. Root component: comp-aadSTS. Resolved using TSG-195.,team-aad,INC-2714|INC-3021,North EU
INC-2901,Azure Active Directory — Auth Token Issuance Failures,Sev1,Resolved,2025-03-04T10:15:00Z,2025-03-04T11:42:00Z,87 min,svc-aad|svc-ado|svc-keyvault,comp-aadSTS,CR-9921,TSG-382,AADSTS700016,"~85,000 enterprise users — SSO failures across M365, Azure portal, DevOps",Cert rotation CR-9904 introduced chain mismatch. 23% of auth requests rejected.,team-aad,INC-2441|INC-1988,Global
INC-3156,Azure App Service — 503 Errors on Dependent SQL Tier,Sev3,Resolved,2025-03-03T12:30:00Z,2025-03-03T13:20:00Z,50 min,svc-appSvc,comp-appPlan,,TSG-271,HTTP 503 — UpstreamConnectionFailure,"~8,200 customers — App Service 503s on DB requests",Downstream from INC-3012. Worker SQL pools exhausted during TLS fix window.,team-apps,INC-3012,West US 2
INC-3012,Azure SQL — TLS Handshake Timeout Cascade,Sev2,Resolved,2025-03-03T12:05:00Z,2025-03-03T13:10:00Z,65 min,svc-sql|svc-appSvc|svc-ado,comp-sqlGW,CR-9887,TSG-319,SSL_ERROR_HANDSHAKE_FAILURE,"~31,000 developers — CI/CD SQL checks failing",TLS 1.3 rollout introduced cipher incompatibility with legacy JDBC drivers.,team-sql,INC-2788,East US
INC-2985,ACR — Image Pull Failures East US — Australia East,Sev2,Resolved,2025-03-03T12:00:00.000Z,2025-03-03T13:08:00.000Z,68 min,svc-acr|svc-ado|svc-aks,comp-acrRegistry,,TSG-241,ACR-ManifestNotFound,"~19,092 customers — AKS pods failing to pull images — deployment rollouts blocked",AKS pods failing to pull images — deployment rollouts blocked. Root component: comp-acrRegistry. Resolved using TSG-241.,team-containers,INC-2558|INC-2447|INC-2586,North EU
INC-1386,AKS — CoreDNS Resolution Failures — West US 2,Sev2,Mitigating,2025-03-02T12:00:00.000Z,,,svc-aks|svc-monitor,comp-aksCP,,TSG-301,AKS-DNSResolutionFailure,"~20,036 customers — Inter-pod service discovery broken — microservices can't connect",Inter-pod service discovery broken — microservices can't connect. Root component: comp-aksCP. Resolved using TSG-301.,team-containers,,East US
INC-1720,Cosmos DB — Replication Lag > 5s — UK South,Sev4,Resolved,2025-03-02T12:00:00.000Z,2025-03-02T12:11:00.000Z,11 min,svc-cosmos,comp-cosmosRU,CR-9771,TSG-309,CosmosDB-ConsistencyViolation,~51 customers — Multi-region reads returning stale data — financial integrity risk,Multi-region reads returning stale data — financial integrity risk. Root component: comp-cosmosRU. Triggered by CR-9771. Resolved using TSG-309.,team-cosmos,,Japan East
INC-3311,AKS — Upgrade Version Skew Crash — East US 2,Sev2,Active,2025-03-02T12:00:00.000Z,,,svc-aks|svc-lb,comp-aksCP,CR-9894,TSG-301,AKS-VersionSkewError,"~1,106 customers — Mixed node versions causing scheduler failures",Mixed node versions causing scheduler failures. Root component: comp-aksCP. Triggered by CR-9894. Resolved using TSG-301.,team-containers,,East US 2
INC-3310,AKS Control Plane — API Server Unavailable West US 2,Sev1,Resolved,2025-03-02T07:30:00Z,2025-03-02T08:32:00Z,62 min,svc-aks|svc-acr|svc-aad,comp-aksCP,CR-9855,TSG-301,AKS-APIServerTimeout,"~18,000 developers — kubectl and deployments frozen for 62min",AKS 1.28 upgrade introduced control plane version skew. Rollback applied.,team-containers,INC-2901,West US 2
INC-1229,Azure Monitor — Alert Processing Delay > 10min — Australia East,Sev4,Resolved,2025-03-01T12:00:00.000Z,2025-03-01T12:25:00.000Z,25 min,svc-monitor,comp-monAlert,CR-9759,TSG-221,AlertEvalBacklog,~32 customers — Critical alerts firing 10-45min late — SLO at risk,Critical alerts firing 10-45min late — SLO at risk. Root component: comp-monAlert. Triggered by CR-9759. Resolved using TSG-221.,team-obs,INC-1023,North EU
INC-2640,Redis — Memory Eviction Storm — Japan East,Sev3,Resolved,2025-03-01T12:00:00.000Z,2025-03-01T12:29:00.000Z,29 min,svc-redis|svc-appSvc,comp-redisCluster,CR-9837,,Redis-OOM-MaxMemory,"~3,697 customers — Hot keys evicted — session data lost for ~5% active users",Hot keys evicted — session data lost for ~5% active users. Root component: comp-redisCluster. Triggered by CR-9837.,team-cache,INC-1342,East US 2
